"TS","W","X_id"
1488256259.08,147710.359375,"58b4fd1686232b1efc6e6379"
1488256258.08,147718.390625,"58b4fd1686232b1efc6e6376"
1488256257.08,147728.90625,"58b4fd1686232b1efc6e6364"
1488256256.07,148241.15625,"58b4fd1586232b1efc6e633c"
1488256255.07,148275.203125,"58b4fd1586232b1efc6e6335"
1488256254.08,148304.6875,"58b4fd1586232b1efc6e632f"
1488256253.08,147485.796875,"58b4fd1586232b1efc6e6328"
1488256252.08,147480.390625,"58b4fd1586232b1efc6e6317"
1488256251.08,147478.375,"58b4fd1386232b1efc6e62de"
1488256250.08,147464.5625,"58b4fd1386232b1efc6e62cc"
1488256249.08,147475.71875,"58b4fd1286232b1efc6e62b7"
1488256248.08,147485.765625,"58b4fd1286232b1efc6e6290"
1488256247.08,147495.78125,"58b4fd0486232b1efc6e60f1"
1488256246.07,147501.5625,"58b4fd0386232b1efc6e60d4"
1488256245.07,147504,"58b4fd0386232b1efc6e60bc"
1488256244.08,147487.734375,"58b4fd0286232b1efc6e609a"
1488256243.08,147487.796875,"58b4fd0286232b1efc6e607f"
1488256242.08,147491.734375,"58b4fd0186232b1efc6e606a"
1488256241.08,147489,"58b4fd0186232b1efc6e6058"
1488256240.08,148040.828125,"58b4fd0086232b1efc6e603f"
1488256239.08,148069.34375,"58b4fd0086232b1efc6e6029"
1488256238.08,148100.015625,"58b4fcff86232b1efc6e6007"
1488256237.08,148714.953125,"58b4fcff86232b1efc6e5ff8"
1488256236.07,147852.296875,"58b4fcfe86232b1efc6e5fe1"
1488256235.07,147883,"58b4fcfe86232b1efc6e5fb8"
1488256234.08,147894.515625,"58b4fcfc86232b1efc6e5f76"
1488256233.08,149048.859375,"58b4fcfc86232b1efc6e5f6e"
1488256232.08,153353.09375,"58b4fcfc86232b1efc6e5f65"
1488256231.08,154256.34375,"58b4fcfb86232b1efc6e5f3d"
1488256230.08,154849.640625,"58b4fcfb86232b1efc6e5f38"
1488256229.08,154884.03125,"58b4fcfb86232b1efc6e5f33"
1488256228.08,154941.765625,"58b4fcfb86232b1efc6e5f2d"
1488256227.08,159546.609375,"58b4fcfb86232b1efc6e5f26"
1488256226.07,159607.515625,"58b4fcfb86232b1efc6e5f21"
1488256225.07,159649.15625,"58b4fcfa86232b1efc6e5f1b"
1488256224.08,155215.9375,"58b4fcf986232b1efc6e5eb9"
1488256223.08,153047.75,"58b4fcf886232b1efc6e5e95"
1488256222.08,150827.109375,"58b4fcf786232b1efc6e5e7d"
1488256221.08,150744.0625,"58b4fcf786232b1efc6e5e67"
1488256220.08,149819.671875,"58b4fce986232b1efc6e5cc0"
1488256219.08,149781.09375,"58b4fce986232b1efc6e5caa"
1488256218.08,149740.171875,"58b4fce886232b1efc6e5c92"
1488256217.08,149702.328125,"58b4fce786232b1efc6e5c6b"
1488256216.07,149672.453125,"58b4fce786232b1efc6e5c58"
1488256215.07,151400.59375,"58b4fce686232b1efc6e5c39"
1488256214.08,151361.578125,"58b4fce586232b1efc6e5c18"
1488256213.08,151315.640625,"58b4fce586232b1efc6e5bfe"
1488256212.08,151275.75,"58b4fce486232b1efc6e5be2"
1488256211.08,151230.640625,"58b4fce486232b1efc6e5bc3"
1488256210.08,151160.828125,"58b4fce386232b1efc6e5ba7"
1488256209.08,151121.96875,"58b4fce386232b1efc6e5b92"
1488256208.08,151090.34375,"58b4fce386232b1efc6e5b84"
1488256207.08,151068.453125,"58b4fce286232b1efc6e5b7b"
1488256206.07,151065.640625,"58b4fce286232b1efc6e5b76"
1488256205.07,151042.90625,"58b4fce286232b1efc6e5b6b"
1488256204.08,151030.265625,"58b4fce286232b1efc6e5b5e"
1488256203.08,151021.3125,"58b4fce286232b1efc6e5b56"
1488256202.08,151025.03125,"58b4fce186232b1efc6e5b35"
1488256201.08,151024.09375,"58b4fcdf86232b1efc6e5ad1"
1488256200.08,151047.65625,"58b4fcdf86232b1efc6e5ab9"
